Sample	raw_total_sequences	reads_mapped	reads_mapped_percent	coverage
EG4349	46.73	46.25	99	37
EG4724	48.82	48.37	99.1	38
EG4725	63.18	62.46	98.9	42
EG4946	46.22	44.21	95.6	33
GXW1	47.16	46.81	99.3	35
JR4305	25.44	25.26	99.3	23
JT11398	71.07	70.74	99.5	57
JU1088	62.44	61.74	98.9	45
JU1172	54.41	53.99	99.2	39
JU1200	55.51	55.4	99.8	42
JU1212	49.33	48.99	99.3	37
JU1213	42.23	41.87	99.1	33
JU1242	74.09	73.54	99.3	50
JU1246	66.21	65.72	99.3	47
JU1249	46.55	45.87	98.5	40
JU1395	24.86	24.75	99.5	21
JU1400	82.12	76.96	93.7	53
JU1409	63.81	63.47	99.5	48
JU1440	61.15	60.77	99.4	47
JU1491	62.36	61.9	99.3	47
JU1511	49.69	49.43	99.5	30
JU1516	94.73	93.2	98.4	63
JU1530	37.37	37.14	99.4	30
JU1543	30.03	29.94	99.7	34
JU1568	78.99	78.82	99.8	59
JU1580	93.62	92.43	98.7	72
JU1581	46.26	45.89	99.2	34
JU1586	62.68	62.44	99.6	49
JU1652	41.36	40.97	99	31
JU1656	28.71	28.43	99	25
JU1666	50.67	50.09	98.9	45
JU1762	40.64	40.24	99	37
JU1770	54.46	53.93	99	49
JU1792	56.77	56.42	99.4	52
JU1793	55.23	54.48	98.6	51
JU1807	58.72	57.43	97.8	52
JU1808	42.41	41.99	99	39
JU1896	61.97	61.6	99.4	45
JU1920	42.32	41.8	98.8	39
JU1922	38.31	36.55	95.4	34
JU1924	31.48	31.13	98.9	28
JU1926	48.89	48.31	98.8	30
JU1929	36.79	36.32	98.7	34
JU1931	79.35	78.8	99.3	44
JU1934	53.19	52.74	99.2	49
JU1941	38.68	38.44	99.4	24
JU1960	60.35	59.8	99.1	49
JU2001	76.77	75.84	98.8	60
JU2007	59.54	59.13	99.3	47
JU2016	47.57	43.4	91.2	40
JU2017	46.71	42.76	91.5	39
JU2106	50.18	49.57	98.8	46
JU2131	36.25	34.07	94	32
